studio_drummer_gm,guitar_pro_8_drumkit
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,97
13,98
14,29
15,96
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,38
25,91
26,38
27,38
28,38
29,91
30,0
31,31
32,39
33,0
34,0
35,35
36,36
37,37
38,38
39,39
40,91
41,43
42,42
43,45
44,44
45,47
46,46
47,47
48,48
49,49
50,48
51,51
52,52
53,53
54,54
55,55
56,76
57,57
58,77
59,49
60,53
61,93
62,53
63,57
64,52
65,43
66,42
67,45
68,42
69,42
70,44
71,44
72,46
73,46
74,46
75,43
76,43
77,45
78,45
79,47
80,47
81,48
82,48
83,54
84,37
85,37
86,37
87,37
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,42
104,42
105,42
106,42
107,42
108,42
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
